,id,ad,education,ofjobs,yearsexp,honors,volunteer,military,empholes,occupspecific,occupbroad,workinschool,email,computerskills,specialskills,firstname,sex,race,h,l,call,city,kind,adid,fracblack,fracwhite,lmedhhinc,fracdropout,fraccolp,linc,col,expminreq,schoolreq,eoe,parent_sales,parent_emp,branch_sales,branch_emp,fed,fracblack_empzip,fracwhite_empzip,lmedhhinc_empzip,fracdropout_empzip,fraccolp_empzip,linc_empzip,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,ownership
0,b,1,4,2,6,0,0,0,1,17,1,0,0,1,0,Allison,f,w,0,1,0,c,a,384,0.989359558,0.00550022,9.52748394,0.274150968,0.037661508,8.706324577,1,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
1,b,1,3,3,6,0,1,1,0,316,6,1,1,1,0,Kristen,f,w,1,0,0,c,a,384,0.080735669,0.888373852,10.40882778,0.233686775,0.087285355,9.532858849,0,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
2,b,1,4,1,6,0,0,0,0,19,1,1,0,1,0,Lakisha,f,b,0,1,0,c,a,384,0.104300544,0.837370217,10.46675396,0.101334654,0.591695487,10.54032898,1,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
3,b,1,3,4,6,0,1,0,1,313,5,0,1,1,1,Latonya,f,b,1,0,0,c,a,384,0.3361651,0.637369633,10.43190765,0.108847864,0.406575918,10.41214085,0,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
4,b,1,3,3,22,0,0,0,0,313,5,1,1,1,0,Carrie,f,w,1,0,0,c,a,385,0.397594661,0.1801956,9.876218796,0.312872767,0.030846862,8.728263855,0,some,,1,9.399999619,143,9.399999619,143,0,0.204763502,0.727045953,10.61939907,0.070493139,0.369903088,10.00735188,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
5,b,1,4,2,6,1,0,0,0,266,4,0,0,0,1,Jay,m,w,0,1,0,c,s,386,0.3361651,0.637369633,10.43190765,0.108847864,0.406575918,10.41214085,1,,,1,40,135,40,135,0,0.008141458,0.97341305,11.13795567,0.047958273,0.413306206,10.39372253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
6,b,1,4,2,5,0,1,0,0,13,1,1,1,1,1,Jill,f,w,1,0,0,c,s,386,0.002795683,0.952140212,10.45360088,0.236445278,0.124980085,9.621058464,1,,,1,40,135,40,135,0,0.008141458,0.97341305,11.13795567,0.047958273,0.413306206,10.39372253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
7,b,1,3,4,21,0,1,0,1,313,5,0,1,1,1,Kenya,f,b,1,0,0,c,a,385,0.116623893,0.728339255,10.28704739,0.139842764,0.365636081,9.933725357,0,some,,1,9.399999619,143,9.399999619,143,0,0.204763502,0.727045953,10.61939907,0.070493139,0.369903088,10.00735188,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
8,b,1,4,3,3,0,0,0,0,316,6,0,0,1,1,Latonya,f,b,0,1,0,c,s,386,0.080735669,0.888373852,10.40882778,0.233686775,0.087285355,9.532858849,1,,,1,40,135,40,135,0,0.008141458,0.97341305,11.13795567,0.047958273,0.413306206,10.39372253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
9,b,1,4,2,6,0,1,0,0,263,4,1,1,0,1,Tyrone,m,b,1,0,0,c,s,386,0.99204272,0.004814288,8.841737747,0.295093417,0.053181671,8.5073452,1,,,1,40,135,40,135,0,0.008141458,0.97341305,11.13795567,0.047958273,0.413306206,10.39372253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
10,b,1,4,4,8,0,1,0,1,379,6,0,1,1,1,Aisha,f,b,1,0,0,c,a,387,0.704645395,0.252164066,10.00487041,0.150668472,0.301994115,9.668208122,1,some,,1,9.399999619,143,9.399999619,143,0,0.204763502,0.727045953,10.61939907,0.070493139,0.369903088,10.00735188,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,Nonprofit
11,b,1,4,4,8,0,0,0,0,316,6,1,1,1,0,Allison,f,w,1,0,0,c,a,387,0.99204272,0.004814288,8.841737747,0.295093417,0.053181671,8.5073452,1,some,,1,9.399999619,143,9.399999619,143,0,0.204763502,0.727045953,10.61939907,0.070493139,0.369903088,10.00735188,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,Nonprofit
12,b,1,4,4,4,0,0,0,1,27,1,0,0,1,1,Aisha,f,b,0,1,0,c,a,388,0.945290685,0.048330311,9.892426491,0.25186488,0.055981595,8.934060097,1,,,1,18.39999962,55,,,0,0.004030252,0.92648524,11.12975979,0.049830828,0.394765645,10.5187006,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
13,b,1,4,2,4,0,0,0,0,21,1,1,0,1,0,Carrie,f,w,0,1,0,c,a,388,0.989495635,0.004863125,9.474318504,0.257409632,0.04815378,8.69767952,1,,,1,18.39999962,55,,,0,0.004030252,0.92648524,11.12975979,0.049830828,0.394765645,10.5187006,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
14,b,1,4,2,5,0,1,0,0,263,4,0,1,0,1,Aisha,f,b,1,0,0,c,s,389,0.977077246,0.014099709,10.03205681,0.23124893,0.054754153,8.879333496,1,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
15,b,1,1,3,4,0,0,0,0,316,6,0,0,1,1,Geoffrey,m,w,0,1,0,c,s,389,0.989495635,0.004863125,9.474318504,0.257409632,0.04815378,8.69767952,0,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
16,b,1,4,3,5,0,1,0,0,268,4,1,1,0,0,Matthew,m,w,1,0,0,c,s,389,0.051354181,0.891093135,10.6310606,0.074430853,0.542473495,10.5600481,1,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
17,b,1,4,3,6,0,0,0,0,267,4,0,0,0,1,Tamika,f,b,0,1,0,c,s,389,0.198823527,0.569167614,10.06828117,0.139711425,0.288013309,9.647498131,1,,,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
18,b,1,4,2,6,1,1,0,0,266,4,1,1,0,1,Jill,f,w,1,0,0,c,s,390,,,,,,,1,,,0,77.69999695,850,,,0,0.007659558,0.952218056,10.87644196,0.059489869,0.323507041,10.03227615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
19,b,1,2,2,8,0,0,0,1,265,4,0,0,0,0,Latonya,f,b,0,1,0,c,s,390,0.832138896,0.1387261,9.692643166,0.217792436,0.158367097,9.240675926,0,,,0,77.69999695,850,,,0,0.007659558,0.952218056,10.87644196,0.059489869,0.323507041,10.03227615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
20,b,1,4,3,4,0,1,0,0,316,6,1,1,1,1,Leroy,m,b,1,0,0,c,s,390,0.198823527,0.569167614,10.06828117,0.139711425,0.288013309,9.647498131,1,,,0,77.69999695,850,,,0,0.007659558,0.952218056,10.87644196,0.059489869,0.323507041,10.03227615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
21,b,1,4,3,3,0,0,0,0,317,6,0,0,1,1,Todd,m,w,0,1,0,c,s,390,0.3361651,0.637369633,10.43190765,0.108847864,0.406575918,10.41214085,1,,,0,77.69999695,850,,,0,0.007659558,0.952218056,10.87644196,0.059489869,0.323507041,10.03227615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
22,b,1,2,2,2,0,0,0,0,265,4,0,0,0,0,Allison,f,w,0,1,0,c,s,392,0.002174999,0.789266765,10.24785709,0.299457043,0.071178846,9.366147041,0,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
23,b,1,4,3,7,0,0,0,1,313,5,0,0,1,0,Carrie,f,w,0,1,0,c,a,391,0.270733058,0.54915601,10.06198597,0.148723587,0.242327541,9.43843174,1,some,colp,0,2092.5,8667,,,1,0.832138896,0.1387261,9.692643166,0.217792436,0.158367097,9.240675926,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
24,b,1,4,3,3,0,1,0,0,316,6,0,1,1,1,Greg,m,w,1,0,0,c,s,392,0.181469515,0.571832776,10.21782398,0.258002669,0.073408522,9.191565514,1,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
25,b,1,4,4,6,0,0,0,1,313,5,1,0,1,0,Keisha,f,b,0,1,0,c,a,391,0.454302967,0.271449178,9.895606995,0.248141512,0.151171938,9.291090965,1,some,colp,0,2092.5,8667,,,1,0.832138896,0.1387261,9.692643166,0.217792436,0.158367097,9.240675926,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
26,b,1,1,3,4,0,1,0,0,316,6,0,1,1,1,Keisha,f,b,1,0,0,c,s,392,0.691106796,0.156322837,10.0996294,0.22815758,0.050933633,8.959954262,0,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
27,b,1,3,4,6,0,1,0,1,313,5,0,1,1,1,Kristen,f,w,1,0,0,c,a,391,0.159950182,0.347766757,9.841772079,0.304798633,0.036977284,8.810310364,0,some,colp,0,2092.5,8667,,,1,0.832138896,0.1387261,9.692643166,0.217792436,0.158367097,9.240675926,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
28,b,1,3,3,7,0,0,0,0,313,5,1,1,1,0,Lakisha,f,b,1,0,0,c,a,391,0.051354181,0.891093135,10.6310606,0.074430853,0.542473495,10.5600481,0,some,colp,0,2092.5,8667,,,1,0.832138896,0.1387261,9.692643166,0.217792436,0.158367097,9.240675926,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,Nonprofit
29,b,1,4,3,2,0,0,0,0,317,6,0,0,1,1,Tamika,f,b,0,1,0,c,s,392,0.691106796,0.156322837,10.0996294,0.22815758,0.050933633,8.959954262,1,,somcol,0,,,,,0,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
30,b,1,2,2,6,0,0,0,0,189,1,0,0,1,0,Allison,f,w,0,1,0,c,a,393,0.080735669,0.888373852,10.40882778,0.233686775,0.087285355,9.532858849,0,,,0,,,,,,0.198823527,0.569167614,10.06828117,0.139711425,0.288013309,9.647498131,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
31,b,1,3,4,6,0,0,0,0,185,1,1,0,1,0,Keisha,f,b,0,1,0,c,a,393,0.198823527,0.569167614,10.06828117,0.139711425,0.288013309,9.647498131,0,,,0,,,,,,0.198823527,0.569167614,10.06828117,0.139711425,0.288013309,9.647498131,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
32,b,1,3,2,9,0,1,0,1,255,3,0,1,1,0,Kristen,f,w,1,0,0,c,a,393,0.109748371,0.507446408,9.869257927,0.299338251,0.094114318,9.028338432,0,,,0,,,,,,0.198823527,0.569167614,10.06828117,0.139711425,0.288013309,9.647498131,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
33,b,1,4,3,6,1,0,0,1,323,6,1,1,1,0,Latonya,f,b,1,0,0,c,a,393,0.512182355,0.298899204,9.662879944,0.257437974,0.035784647,8.733271599,1,,,0,,,,,,0.198823527,0.569167614,10.06828117,0.139711425,0.288013309,9.647498131,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
34,b,1,2,2,4,0,0,0,0,265,4,0,0,0,0,Brad,m,w,0,1,0,c,s,395,0.704645395,0.252164066,10.00487041,0.150668472,0.301994115,9.668208122,0,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
35,b,1,3,3,5,0,1,0,0,379,6,1,1,1,0,Jill,f,w,1,0,0,c,a,394,0.270733058,0.54915601,10.06198597,0.148723587,0.242327541,9.43843174,0,3,,1,4,30,4,30,0,0.004030252,0.92648524,11.12975979,0.049830828,0.394765645,10.5187006,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
36,b,1,4,3,4,0,0,0,1,313,5,0,0,1,0,Keisha,f,b,0,1,0,c,a,394,0.397594661,0.1801956,9.876218796,0.312872767,0.030846862,8.728263855,1,3,,1,4,30,4,30,0,0.004030252,0.92648524,11.12975979,0.049830828,0.394765645,10.5187006,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
37,b,1,4,3,3,0,0,0,0,317,6,0,0,0,1,Keisha,f,b,0,1,0,c,s,395,0.977077246,0.014099709,10.03205681,0.23124893,0.054754153,8.879333496,1,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
38,b,1,3,3,4,0,1,1,0,316,6,1,1,1,0,Lakisha,f,b,1,0,0,c,a,394,0.217249036,0.495773435,9.965052605,0.197265401,0.223429814,9.422948837,0,3,,1,4,30,4,30,0,0.004030252,0.92648524,11.12975979,0.049830828,0.394765645,10.5187006,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
39,b,1,4,3,5,0,1,0,0,267,4,1,1,0,1,Laurie,f,w,1,0,0,c,s,395,0.002795683,0.952140212,10.45360088,0.236445278,0.124980085,9.621058464,1,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
40,b,1,4,2,5,1,0,0,1,313,5,0,0,1,0,Meredith,f,w,0,1,0,c,a,394,0.104300544,0.837370217,10.46675396,0.101334654,0.591695487,10.54032898,1,3,,1,4,30,4,30,0,0.004030252,0.92648524,11.12975979,0.049830828,0.394765645,10.5187006,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,Private
41,b,1,4,3,5,0,1,0,0,17,1,1,1,0,1,Tyrone,m,b,1,0,0,c,s,395,0.530870318,0.294441521,10.24405861,0.216173664,0.094348058,9.266626358,1,,,0,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
42,b,1,4,4,7,0,1,0,1,195,1,0,1,1,0,Anne,f,w,1,0,0,c,a,396,0.109748371,0.507446408,9.869257927,0.299338251,0.094114318,9.028338432,1,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
43,b,1,4,4,6,0,0,0,0,185,1,1,0,1,0,Emily,f,w,0,1,0,c,a,396,0.102952741,0.729525208,10.29255199,0.230278671,0.087097056,9.384545326,1,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
44,b,1,4,4,5,0,0,0,1,329,6,0,0,1,1,Latoya,f,b,0,1,0,c,a,396,0.076019429,0.440908521,9.986771584,0.275277257,0.084796116,9.04180336,1,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
45,b,1,3,2,7,0,1,0,1,255,3,0,1,1,0,Tamika,f,b,1,0,0,c,a,396,0.832138896,0.1387261,9.692643166,0.217792436,0.158367097,9.240675926,0,2,colp,0,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,
46,b,1,0,2,4,0,1,0,1,13,1,0,1,1,1,Brad,m,w,1,0,0,c,s,397,0.002795683,0.952140212,10.45360088,0.236445278,0.124980085,9.621058464,0,,,0,,,,,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
47,b,1,4,3,5,0,1,0,0,17,1,1,1,0,1,Latoya,f,b,1,0,0,c,s,397,0.080735669,0.888373852,10.40882778,0.233686775,0.087285355,9.532858849,1,,,0,,,,,0,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
48,b,1,4,3,4,0,0,0,1,313,5,0,0,1,0,Kristen,f,w,0,1,0,c,a,398,0.102952741,0.729525208,10.29255199,0.230278671,0.087097056,9.384545326,1,,,0,217.1000061,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
49,b,1,4,3,5,0,0,0,0,337,6,1,1,1,1,Latonya,f,b,1,0,0,c,a,398,0.454302967,0.271449178,9.895606995,0.248141512,0.151171938,9.291090965,1,,,0,217.1000061,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
50,b,1,4,4,6,0,0,0,1,313,5,1,0,1,0,Latoya,f,b,0,1,0,c,a,398,0.832138896,0.1387261,9.692643166,0.217792436,0.158367097,9.240675926,1,,,0,217.1000061,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
51,b,1,4,3,6,0,1,0,0,313,5,1,1,1,0,Laurie,f,w,1,0,0,c,a,398,0.016486628,0.744989455,10.24242115,0.238195524,0.138573721,9.446834564,1,,,0,217.1000061,1074,,,0,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Public
52,b,1,4,5,13,0,0,0,1,326,6,1,0,1,1,Allison,f,w,0,1,0,c,a,399,0.454302967,0.271449178,9.895606995,0.248141512,0.151171938,9.291090965,1,some,,0,,,,,0,0.125,0.875,11.81431103,0,0.892857134,11.36244011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Private
53,b,1,4,2,19,1,0,0,1,313,5,0,0,1,1,Ebony,f,b,0,1,0,c,a,399,0.016486628,0.744989455,10.24242115,0.238195524,0.138573721,9.446834564,1,some,,0,,,,,0,0.125,0.875,11.81431103,0,0.892857134,11.36244011,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Private
54,b,1,2,3,5,0,1,0,0,365,6,1,1,0,0,Jay,m,w,1,0,0,c,s,400,0.159950182,0.347766757,9.841772079,0.304798633,0.036977284,8.810310364,0,some,,0,,840,,840,1,,,,,,,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Private
